,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679859855.953112,93719,opf,30,29,19,NA,NA,0.8805562222212653,0.9039666345362177,0.8921078726529964,0.8255716969474222,0.8858545876011631
1,1679859866.926936,93719,opf_snn,30,18,83,NA,NA,0.9493729133837715,0.9511125243627548,0.9502419226960608,0.9402705025669491,0.947415347125018
0,1679859876.962263,93719,opf,35,35,16,NA,NA,0.8719219594349946,0.9002411804825482,0.885855298950568,0.8174371128929141,0.8792266796774217
1,1679859889.296003,93719,opf_snn,35,16,93,NA,NA,0.9405889444621525,0.9432276595419806,0.9419064539407271,0.929117009242405,0.9386029206959551
0,1679859900.376629,93719,opf,40,40,15,NA,NA,0.8439869916528222,0.8731462561935265,0.8583190418821122,0.7798169082617601,0.8501646912576587
1,1679859914.329209,93719,opf_snn,40,18,83,NA,NA,0.9493729133837715,0.9511125243627548,0.9502419226960608,0.9402705025669491,0.947415347125018
0,1679859926.509722,93719,opf,45,44,11,NA,NA,0.8342093374883451,0.8851223456455156,0.858912021223526,0.7746077256953473,0.851666481195325
1,1679859942.509074,93719,opf_snn,45,28,52,NA,NA,0.9268119028140344,0.93115095550469,0.9289763624869667,0.910249235078708,0.9249296692906809
0,1679859956.501866,93719,opf,50,44,11,NA,NA,0.8342093374883451,0.8851223456455156,0.858912021223526,0.7746077256953473,0.851666481195325
1,1679859974.289333,93719,opf_snn,50,33,47,NA,NA,0.8725336100295635,0.888766233539562,0.8805751196243914,0.8204726158690565,0.8736771679313158
0,1679859989.910858,45219,opf,5,5,258,NA,NA,0.9783758902724478,0.978119592156086,0.9782477244269231,0.9771667675456626,0.9770249380420394
1,1679859996.429363,45219,opf_snn,5,5,349,NA,NA,0.9781026784832287,0.9782150670864272,0.9781588695565185,0.9767489153512411,0.9769305717128075
0,1679860002.87741,45219,opf,10,10,77,NA,NA,0.9834941045457622,0.9837934303537471,0.983643744678315,0.982677806862804,0.982723716539667
1,1679860009.907156,45219,opf_snn,10,6,308,NA,NA,0.9891677890659156,0.9892029731126926,0.9891853807764414,0.988938948550014,0.9885772461811235
0,1679860016.788718,45219,opf,15,15,40,NA,NA,0.9425678541119434,0.9505086192544436,0.9465215823768472,0.917157992098367,0.9434873628765126
1,1679860024.573302,45219,opf_snn,15,14,125,NA,NA,0.9779581208364381,0.97795860841711,0.9779583646267133,0.9756971258013332,0.9767189348165287
0,1679860032.148449,45219,opf,20,20,22,NA,NA,0.9316589353761328,0.94041397330535,0.936015982197593,0.9077027239661523,0.9323820890064691
1,1679860040.723965,45219,opf_snn,20,10,164,NA,NA,0.9684700464098783,0.9690552886671051,0.9687625791503572,0.9645025182421654,0.9670048618673651
0,1679860048.914037,45219,opf,25,24,17,NA,NA,0.9265723943485992,0.9349664401296983,0.9307504920350999,0.902938047099586,0.9268190451895086
1,1679860058.593382,45219,opf_snn,25,13,134,NA,NA,0.9725078188239478,0.9726532459902366,0.9725805269707658,0.9703047945122593,0.9710384287855076
0,1679860067.626271,45219,opf,30,30,16,NA,NA,0.9136479282620742,0.9233788642702409,0.9184876233389525,0.8873430021987361,0.9138527524798192
1,1679860078.394975,45219,opf_snn,30,15,110,NA,NA,0.9541451339347892,0.9544360033999878,0.9542905465030057,0.9482909452221246,0.9517193778923121
0,1679860088.226456,45219,opf,35,33,14,NA,NA,0.8818864237822532,0.89585985185882,0.8888182209027272,0.85073138555912,0.8824694158303847
1,1679860100.334637,45219,opf_snn,35,17,94,NA,NA,0.9551189249530714,0.9570914761333701,0.956104183145199,0.9462985580841884,0.9536301425425987
0,1679860111.182567,45219,opf,40,40,12,NA,NA,0.8430501696285119,0.8906584747217705,0.8662006510057555,0.7967264221079071,0.8594108389695074
1,1679860124.967561,45219,opf_snn,40,20,79,NA,NA,0.9480599773545986,0.9493493405283165,0.9487042208553319,0.9419626591450968,0.9458153494381741
0,1679860137.330048,45219,opf,45,40,12,NA,NA,0.8430501696285119,0.8906584747217705,0.8662006510057555,0.7967264221079071,0.8594108389695074
1,1679860153.314696,45219,opf_snn,45,17,94,NA,NA,0.9551189249530714,0.9570914761333701,0.956104183145199,0.9462985580841884,0.9536301425425987
0,1679860166.865095,45219,opf,50,40,12,NA,NA,0.8430501696285119,0.8906584747217705,0.8662006510057555,0.7967264221079071,0.8594108389695074
1,1679860184.248884,45219,opf_snn,50,23,69,NA,NA,0.9535126097177941,0.9550311328544092,0.9542712671834906,0.9484135369933687,0.9516952186130275
0,1679860199.241528,53126,opf,5,5,231,NA,NA,0.9551277636411277,0.9551801130153361,0.9551539376109504,0.9425391444700681,0.9526083010632936
1,1679860205.728954,53126,opf_snn,5,5,318,NA,NA,0.9680243137275474,0.9680133491003152,0.9680188313828826,0.961400267531691,0.9662035400693351
0,1679860212.18724,53126,opf,10,10,76,NA,NA,0.9401676820172409,0.9397135410184916,0.9399405566622604,0.920504303725133,0.9365332978370587
1,1679860219.225296,53126,opf_snn,10,7,237,NA,NA,0.9588104024093999,0.9582144048614838,0.9585123109884726,0.948951469800123,0.9561589311493035
0,1679860226.286209,53126,opf,15,15,35,NA,NA,0.9224732022486055,0.9224338510542244,0.9224535262317417,0.9032378775851992,0.918052098117152
1,1679860234.371413,53126,opf_snn,15,10,166,NA,NA,0.942530799803387,0.9418461459278038,0.9421883484873679,0.9323443571654909,0.9389093477576633
0,1679860242.133413,53126,opf,20,20,21,NA,NA,0.8605394277756917,0.8687169002065659,0.8646088287849261,0.7992783656524114,0.8568526697280872
1,1679860251.080781,53126,opf_snn,20,15,105,NA,NA,0.944680856109303,0.9441146427635984,0.9443976645681966,0.9351079664395485,0.9412436048607471
0,1679860259.500596,53126,opf,25,24,15,NA,NA,0.8538550019214446,0.8667228251865824,0.860240795743539,0.7799927405387196,0.8521944184959648
1,1679860269.275317,53126,opf_snn,25,14,124,NA,NA,0.9441352926282265,0.9434013965084705,0.9437682018946941,0.9320831231956286,0.9405789830324928
0,1679860278.310755,53126,opf,30,24,15,NA,NA,0.8584111078272414,0.870643152503731,0.8644838628949325,0.7873124291069884,0.8566873495305992
1,1679860289.112747,53126,opf_snn,30,16,107,NA,NA,0.9497116724153877,0.9498037671331674,0.9497577175417511,0.9403111211540978,0.9469055084591523
0,1679860299.190744,53126,opf,35,24,15,NA,NA,0.8584111078272414,0.870643152503731,0.8644838628949325,0.7873124291069884,0.8566873495305992
1,1679860311.473695,53126,opf_snn,35,20,72,NA,NA,0.922399283614442,0.92144608343668,0.92192243714086,0.9002358687301937,0.9174956909153227
0,1679860322.59386,53126,opf,40,40,12,NA,NA,0.8100406781857711,0.8539166609888043,0.8314001986669072,0.7221085618754478,0.8227910967700965
1,1679860336.377235,53126,opf_snn,40,23,64,NA,NA,0.8955270145876377,0.8981855972262918,0.8968543356744983,0.8588990026793103,0.8909827991718445
0,1679860348.772351,53126,opf,45,40,12,NA,NA,0.8100406781857711,0.8539166609888043,0.8314001986669072,0.7221085618754478,0.8227910967700965
1,1679860364.460554,53126,opf_snn,45,24,61,NA,NA,0.8863838688574744,0.8894041387648796,0.8878914353654295,0.8464411178351087,0.8815071983719219
