,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679941595.068376,95673,opf,10,10,612,1.470017833508697,0.0597851499915123,NA,NA,NA,NA,NA
1,1679941732.868017,95673,opf_snn,10,9,1135,1.4685542261079108,-0.03897208347916603,NA,NA,NA,NA,NA
0,1679941871.84601,95673,opf,15,15,359,1.439831368224401,0.09057559072971344,NA,NA,NA,NA,NA
1,1679942011.661734,95673,opf_snn,15,9,1130,1.4596952998870616,-0.03776995837688446,NA,NA,NA,NA,NA
0,1679942149.333066,95673,opf,20,20,256,1.3646690999843327,0.11528794467449188,NA,NA,NA,NA,NA
1,1679942295.023591,95673,opf_snn,20,11,915,1.6030241732654276,-0.03125010058283806,NA,NA,NA,NA,NA
0,1679942436.883101,95673,opf,25,25,207,1.4400274387341971,0.13599516451358795,NA,NA,NA,NA,NA
1,1679942586.278088,95673,opf_snn,25,13,770,1.594032865257242,-0.029800018295645714,NA,NA,NA,NA,NA
0,1679942728.416164,95673,opf,30,30,171,1.587167872630032,0.12027925252914429,NA,NA,NA,NA,NA
1,1679942879.616314,95673,opf_snn,30,20,515,1.6647821366833229,-0.004503156058490276,NA,NA,NA,NA,NA
0,1679943026.086922,95673,opf,35,35,147,1.6177150624475343,0.10144253820180893,NA,NA,NA,NA,NA
1,1679943185.383631,95673,opf_snn,35,22,470,1.632764457730564,-0.025339249521493912,NA,NA,NA,NA,NA
0,1679943338.803074,95673,opf,40,40,120,1.653716564466719,0.09491488337516785,NA,NA,NA,NA,NA
1,1679943504.77554,95673,opf_snn,40,25,422,1.6430397125385783,0.000401820958359167,NA,NA,NA,NA,NA
0,1679943659.94752,95673,opf,45,44,101,1.6241969050126344,0.10298853367567062,NA,NA,NA,NA,NA
1,1679943831.38045,95673,opf_snn,45,30,350,1.738062431240293,0.012049135752022266,NA,NA,NA,NA,NA
0,1679943994.069564,95673,opf,50,50,86,1.6839352357521211,0.1264631450176239,NA,NA,NA,NA,NA
1,1679944173.594831,95673,opf_snn,50,36,292,1.781321212188346,0.03328424319624901,NA,NA,NA,NA,NA
0,1679944339.302712,93719,opf,5,5,1502,1.4491467065524708,0.001382965943776071,NA,NA,NA,NA,NA
1,1679944470.776708,93719,opf_snn,5,5,1841,1.3892911947929731,-0.0688655897974968,NA,NA,NA,NA,NA
0,1679944602.440798,93719,opf,10,10,605,1.3949247614626188,0.04962179437279701,NA,NA,NA,NA,NA
1,1679944737.67494,93719,opf_snn,10,8,1243,1.4859375844991647,-0.05880940333008766,NA,NA,NA,NA,NA
0,1679944871.522706,93719,opf,15,15,350,1.488814677084269,0.09980051964521408,NA,NA,NA,NA,NA
1,1679945010.074363,93719,opf_snn,15,10,998,1.53028647128514,-0.041268933564424515,NA,NA,NA,NA,NA
0,1679945147.710227,93719,opf,20,20,245,1.4413016624577077,0.11330941319465637,NA,NA,NA,NA,NA
1,1679945289.489842,93719,opf_snn,20,15,657,1.6627480028547514,-0.01656922698020935,NA,NA,NA,NA,NA
0,1679945428.995702,93719,opf,25,25,187,1.493845733725852,0.14041920006275177,NA,NA,NA,NA,NA
1,1679945574.26509,93719,opf_snn,25,14,717,1.626140832488244,-0.02157021127641201,NA,NA,NA,NA,NA
0,1679945716.505377,93719,opf,30,30,154,1.579267954458513,0.12838824093341827,NA,NA,NA,NA,NA
1,1679945866.890359,93719,opf_snn,30,18,554,1.635917814520203,-0.009454810060560703,NA,NA,NA,NA,NA
0,1679946012.046254,93719,opf,35,35,128,1.5864771627424192,0.13425739109516144,NA,NA,NA,NA,NA
1,1679946166.915249,93719,opf_snn,35,19,524,1.7018042250084424,-0.0060205720365047455,NA,NA,NA,NA,NA
0,1679946317.025502,93719,opf,40,40,107,1.5434163566576926,0.12154729664325714,NA,NA,NA,NA,NA
1,1679946479.958103,93719,opf_snn,40,27,382,1.683526760380192,-0.0123220169916749,NA,NA,NA,NA,NA
0,1679946636.768978,93719,opf,45,45,94,1.4831882910658036,0.11147059500217438,NA,NA,NA,NA,NA
1,1679946807.471158,93719,opf_snn,45,26,393,1.7029222433841174,-0.008161638863384724,NA,NA,NA,NA,NA
0,1679946968.380277,93719,opf,50,50,83,1.5255854610201365,0.14419052004814148,NA,NA,NA,NA,NA
1,1679947147.38389,93719,opf_snn,50,38,280,1.6998439330225785,0.007052625063806772,NA,NA,NA,NA,NA
0,1679947313.85182,45219,opf,5,5,1445,1.4776381095275857,-0.026653986424207687,NA,NA,NA,NA,NA
1,1679947447.422149,45219,opf_snn,5,5,1848,1.3775783026710582,-0.06355743855237961,NA,NA,NA,NA,NA
0,1679947579.517322,45219,opf,10,10,607,1.4248436657905694,0.06283055990934372,NA,NA,NA,NA,NA
1,1679947714.610376,45219,opf_snn,10,8,1226,1.5208262692294405,-0.05912478640675545,NA,NA,NA,NA,NA
0,1679947848.657095,45219,opf,15,15,383,1.4102743570629284,0.09316771477460861,NA,NA,NA,NA,NA
1,1679947987.430528,45219,opf_snn,15,10,986,1.5436913781141286,-0.05560079962015152,NA,NA,NA,NA,NA
