,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
7,opf,20,20,53,jaccard,pearson,0.5931869602669357,0.7142513298961384,0.6229508196721312,0.6488367399069436,0.5473614813765351,0.4754098360655737,0.7653508771929824,0.6808823529411765,0.3278688524590163,0.4741228070175438,0.3357142857142857
8,opf,20,1,258,pearson,pearson,0.7334588708325378,0.878696854692748,0.3114754098360656,0.3589088067765231,0.3044723753990281,0.4754098360655737,0.6921052631578948,0.6197712418300654,0.1311475409836065,0.2017543859649122,0.2025210084033613
9,opf,20,19,41,squared_euclidean,pearson,0.5317923540256946,0.6417801293635488,0.6065573770491803,0.6783820988233508,0.5980724028259015,0.5245901639344263,0.8184210526315789,0.7818627450980392,0.360655737704918,0.5065789473684211,0.3724089635854341
10,opf,30,1,193,cosine,pearson,0.6849594636706401,0.8234322153149551,0.3934426229508196,0.3888799739359822,0.2814463650816819,0.4590163934426229,0.5732456140350877,0.6139355742296919,0.2131147540983606,0.2614035087719298,0.1964285714285714
11,opf,30,30,6,euclidean,pearson,0.525167713735579,0.6304958320414018,0.6065573770491803,0.7058184300976081,0.5797000388842948,0.5081967213114754,0.775,0.787091503267974,0.3770491803278688,0.518859649122807,0.3964985994397759
12,opf,30,30,27,jaccard,pearson,0.5916807054439959,0.7185986651325322,0.5409836065573771,0.6345260391671443,0.519425965053967,0.3934426229508196,0.7767543859649123,0.6728758169934641,0.2786885245901639,0.4969298245614035,0.3376750700280112
13,opf,30,1,258,pearson,pearson,0.7334588708325378,0.878696854692748,0.3114754098360656,0.3589088067765231,0.3044723753990281,0.4754098360655737,0.6921052631578948,0.6197712418300654,0.1311475409836065,0.2017543859649122,0.2025210084033613
14,opf,30,30,20,squared_euclidean,pearson,0.5241782049534717,0.6300972093628248,0.5737704918032787,0.6990403813163272,0.5818209111317464,0.4754098360655737,0.7671052631578948,0.7691176470588235,0.3442622950819672,0.5162280701754386,0.3813725490196078
15,opf,40,1,193,cosine,pearson,0.6849594636706401,0.8234322153149551,0.3934426229508196,0.3888799739359822,0.2814463650816819,0.4590163934426229,0.5732456140350877,0.6139355742296919,0.2131147540983606,0.2614035087719298,0.1964285714285714
16,opf,40,38,4,euclidean,pearson,0.5252539285940914,0.6303707644382253,0.6229508196721312,0.7041341959472818,0.5787902750704205,0.5081967213114754,0.775,0.787091503267974,0.3770491803278688,0.518859649122807,0.3964985994397759
17,opf,40,40,14,jaccard,pearson,0.5538301004226006,0.6693228291405999,0.5737704918032787,0.6576407030547927,0.5497372797183465,0.4426229508196721,0.7548245614035087,0.7372549019607844,0.360655737704918,0.532017543859649,0.4133053221288514
18,opf,40,38,25,pearson,pearson,0.5283694899952405,0.6363067835481735,0.5737704918032787,0.6707174451748085,0.5761667239561358,0.5081967213114754,0.8131578947368422,0.7722689075630251,0.3442622950819672,0.511842105263158,0.3410364145658263
19,opf,40,40,9,squared_euclidean,pearson,0.5249698463360255,0.6313103286276044,0.6229508196721312,0.6847332899469658,0.5679045081193361,0.5245901639344263,0.7907894736842106,0.7827731092436976,0.3934426229508196,0.5030701754385966,0.3612044817927171
20,opf,50,1,193,cosine,pearson,0.6849594636706401,0.8234322153149551,0.3934426229508196,0.3888799739359822,0.2814463650816819,0.4590163934426229,0.5732456140350877,0.6139355742296919,0.2131147540983606,0.2614035087719298,0.1964285714285714
21,opf,50,49,3,euclidean,pearson,0.5292520383256565,0.6363900579443599,0.6065573770491803,0.6973381196026994,0.5670707501231104,0.4918032786885246,0.775,0.763655462184874,0.3770491803278688,0.5293859649122807,0.3872549019607842
